frame; timings; with call
1249;709;719;
1250;738;748;
1251;665;675;
1252;702;712;
1253;562;572;
1254;723;733;
1255;670;680;
1256;683;693;
1257;193;203;
1258;704;714;
1259;601;611;
1260;273;283;
1261;738;748;
1262;582;592;
1263;645;655;
1264;562;572;
1265;528;538;
1266;583;593;
1267;628;638;
1268;596;606;
1269;219;229;
1270;562;572;
1271;670;680;
1272;273;283;
1273;702;712;
1274;704;714;
1275;631;641;
1276;673;683;
1277;615;625;
1278;649;659;
1279;702;712;
1280;685;695;
1281;306;316;
1282;649;659;
1283;546;556;
1284;273;283;
1285;683;693;
1286;560;570;
1287;609;619;
1288;594;604;
1289;528;538;
1290;219;229;
1291;664;674;
1292;651;661;
1293;193;203;
1294;562;572;
1295;560;570;
1296;615;625;
1297;675;685;
1298;683;693;
1299;643;653;
1300;702;712;
1301;594;604;
1302;778;788;
1303;724;734;
1304;651;661;
1305;193;203;
1306;704;714;
1307;601;611;
1308;273;283;
1309;738;748;
1310;637;647;
1311;645;655;
1312;704;714;
1313;637;647;
1314;583;593;
1315;719;729;
1316;685;695;
1317;219;229;
1318;649;659;
1319;528;538;
1320;219;229;
1321;741;751;
1322;704;714;
1323;273;283;
1324;673;683;
1325;670;680;
1326;273;283;
1327;670;680;
1328;651;661;
1329;193;203;
1330;704;714;
1331;601;611;
1332;273;283;
1333;738;748;
1334;637;647;
1335;643;653;
1336;704;714;
1337;637;647;
1338;649;659;
1339;719;729;
1340;772;782;
1341;237;247;
1342;649;659;
1343;546;556;
1344;273;283;
1345;675;685;
1346;683;693;
1347;732;742;
1348;724;734;
1349;649;659;
1350;723;733;
1351;688;698;
1352;683;693;
1353;247;257;
1354;704;714;
1355;601;611;
1356;273;283;
1357;670;680;
1358;683;693;
1359;677;687;
1360;757;767;
1361;650;660;
1362;636;646;
1363;757;767;
1364;650;660;
1365;732;742;
1366;688;698;
1367;614;624;
1368;745;755;
1369;709;719;
1370;617;627;
1371;219;229;
1372;607;617;
1373;306;316;
1374;273;283;
1375;670;680;
1376;651;661;
1377;193;203;
1378;670;680;
1379;237;247;
1380;273;283;
1381;683;693;
1382;615;625;
1383;609;619;
1384;670;680;
1385;237;247;
1386;273;283;
1387;719;729;
1388;651;661;
1389;193;203;
1390;670;680;
1391;237;247;
1392;273;283;
1393;757;767;
1394;683;693;
1395;645;655;
1396;725;735;
1397;617;627;
1398;636;646;
1399;725;735;
1400;685;695;
1401;219;229;
1402;615;625;
1403;583;593;
1404;219;229;
1405;683;693;
1406;528;538;
1407;611;621;
1408;528;538;
1409;583;593;
1410;219;229;
1411;664;674;
1412;651;661;
1413;193;203;
1414;617;627;
1415;219;229;
1416;583;593;
1417;704;714;
1418;649;659;
1419;577;587;
1420;607;617;
1421;219;229;
1422;583;593;
1423;670;680;
1424;685;695;
1425;306;316;
1426;615;625;
1427;601;611;
1428;273;283;
1429;719;729;
1430;670;680;
1431;631;641;
1432;670;680;
1433;237;247;
1434;273;283;
1435;719;729;
1436;651;661;
1437;193;203;
1438;670;680;
1439;237;247;
1440;273;283;
1441;702;712;
1442;738;748;
1443;665;675;
1444;725;735;
1445;649;659;
1446;691;701;
1447;725;735;
1448;683;693;
1449;219;229;
1450;670;680;
1451;273;283;
1452;583;593;
1453;683;693;
1454;528;538;
1455;645;655;
1456;615;625;
1457;583;593;
1458;219;229;
1459;683;693;
1460;596;606;
1461;193;203;
1462;560;570;
1463;583;593;
1464;219;229;
1465;675;685;
1466;562;572;
1467;577;587;
1468;641;651;
1469;583;593;
1470;583;593;
1471;704;714;
1472;596;606;
1473;193;203;
1474;670;680;
1475;237;247;
1476;273;283;
1477;683;693;
1478;615;625;
1479;609;619;
1480;670;680;
1481;237;247;
1482;273;283;
1483;719;729;
1484;651;661;
1485;193;203;
1486;670;680;
1487;237;247;
1488;273;283;
1489;757;767;
1490;683;693;
1491;645;655;
1492;725;735;
1493;649;659;
1494;636;646;
1495;725;735;
1496;717;727;
1497;219;229;
1498;615;625;
1499;583;593;
1500;219;229;
1501;683;693;
1502;528;538;
1503;698;708;
1504;582;592;
1505;583;593;
1506;219;229;
1507;664;674;
1508;596;606;
1509;219;229;
1510;617;627;
1511;583;593;
1512;528;538;
1513;709;719;
1514;649;659;
1515;609;619;
1516;607;617;
1517;560;570;
1518;528;538;
1519;583;593;
1520;528;538;
1521;528;538;
1522;583;593;
1523;528;538;
1524;583;593;
1525;583;593;
1526;528;538;
1527;583;593;
1528;583;593;
1529;528;538;
1530;583;593;
1531;636;646;
1532;589;599;
1533;630;640;
1534;636;646;
1535;562;572;
1536;663;673;
1537;589;599;
1538;651;661;
1539;596;606;
1540;636;646;
1541;562;572;
1542;636;646;
1543;562;572;
1544;630;640;
1545;630;640;
1546;691;701;
1547;562;572;
1548;636;646;
1549;623;633;
1550;651;661;
1551;596;606;
1552;670;680;
1553;589;599;
1554;596;606;
1555;670;680;
1556;630;640;
1557;630;640;
1558;636;646;
1559;596;606;
1560;596;606;
1561;697;707;
1562;649;659;
1563;656;666;
1564;641;651;
1565;615;625;
1566;615;625;
1567;723;733;
